model,split,label,precision,recall,f1,support,average_precision_ovr,roc_auc_ovr
vit,validation,safe,0.8571428571428571,1.0,0.9230769230769231,12,1.0,1.0
vit,validation,firearms,1.0,1.0,1.0,12,1.0,1.0
vit,validation,explosives,1.0,0.8333333333333334,0.9090909090909091,12,1.0,1.0
vit,validation,financial_promotion,1.0,1.0,1.0,12,1.0,1.0
vit,test,safe,1.0,1.0,1.0,12,1.0,1.0
vit,test,firearms,0.9230769230769231,1.0,0.96,12,1.0,1.0
vit,test,explosives,1.0,0.9166666666666666,0.9565217391304348,12,1.0,1.0
vit,test,financial_promotion,1.0,1.0,1.0,12,1.0,1.0
resnet50,validation,safe,0.9230769230769231,1.0,0.96,12,0.9707362082362082,0.9907407407407407
resnet50,validation,firearms,0.9230769230769231,1.0,0.96,12,1.0,1.0
resnet50,validation,explosives,1.0,0.8333333333333334,0.9090909090909091,12,0.9543650793650793,0.9791666666666667
resnet50,validation,financial_promotion,1.0,1.0,1.0,12,1.0,1.0
resnet50,test,safe,0.8181818181818182,0.75,0.782608695652174,12,0.9414724164724164,0.9791666666666666
resnet50,test,firearms,0.9230769230769231,1.0,0.96,12,1.0,1.0
resnet50,test,explosives,0.75,0.75,0.75,12,0.9223710317460316,0.9652777777777778
resnet50,test,financial_promotion,1.0,1.0,1.0,12,1.0,1.0
